I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
I,2018-10-29 08:58:15,3715,101,142,26088.10573,0.141666668,10.69855268,
I,2018-10-29 08:58:16,3708,3708,132,26088.73505,0.008333335,0.629326768,
E,2018-10-29 08:58:22,3708,3708,307,26092.51101,0.049999996,3.775959419,
E,2018-10-29 08:58:30,3708,3708,142,26097.54563,0.066666667,5.034612954,
E,2018-10-29 08:58:37,3708,3708,142,26101.95091,0.058333336,4.405286582,
E,2018-10-29 08:58:38,3711,3711,141,26102.58024,0.00833333,0.629326372,
I,2018-10-29 08:59:00,3709,3709,601,26116.42542,0.183333334,13.84518572,
I,2018-10-29 08:59:10,3709,3709,143,26122.71869,0.083333337,6.293266489,
I,2018-10-29 08:59:31,3715,3715,142,26135.93455,0.174999999,13.21585896,
E,2018-10-29 08:59:40,3711,3711,129,26141.59849,0.074999997,5.663939326,
E,2018-10-29 08:59:46,3717,3717,112,26145.37445,0.050000001,3.775959815,
E,2018-10-29 08:59:50,3708,3711,110,26147.89176,0.033333336,2.517306675,
E,2018-10-29 08:59:51,3708,3708,502,26148.52108,0.00833333,0.629326372,
I,2018-10-29 09:00:08,3715,3715,304,26159.21964,0.141666668,10.69855268,
I,2018-10-29 09:00:10,3717,3717,502,26160.47829,0.016666665,1.25865314,
I,2018-10-29 09:00:16,3713,5141,110,26164.25425,0.050000001,3.775959815,
I,2018-10-29 09:00:17,3709,3709,142,26164.88357,0.008333335,0.629326768,
E,2018-10-29 09:00:19,3708,3708,112,26166.14223,0.016666665,1.25865314,
I,2018-10-29 09:00:40,3708,3708,110,26179.35809,0.174999999,13.21585896,
I,2018-10-29 09:01:05,3708,3708,142,26195.09125,0.208333335,15.73316563,
E,2018-10-29 09:01:13,3717,3714,142,26200.12587,0.066666667,5.034612954,
E,2018-10-29 09:01:53,3708,3711,142,26225.29893,0.333333333,25.17306477,
